headline_id,orig_row,text,n_terms,dominant_topic,topic_0,topic_1,topic_2,topic_3
H01,17568,86 This trick will change your life forever (Kaunas),5,2,0.043,0.043,0.872,0.042
H02,3734,How to speed up your computer with simple tweaks (Madrid),5,3,0.043,0.043,0.042,0.872
H03,9103,60 Kaip pagreitinti kompiuterį paprastais triukais (New York),6,1,0.036,0.891,0.037,0.036
H04,11889,98 Treneris aiškino naują gynybos taktiką po rungtynių,6,0,0.893,0.036,0.036,0.036
H05,9488,32 Star player signs a multi-year contract with club,7,0,0.906,0.031,0.031,0.031
H06,26496,2 Coach explains new defensive tactics after the game,6,2,0.036,0.036,0.892,0.036
H07,29197,61 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,7,2,0.031,0.031,0.906,0.031
H08,45270,45 She did X — what happens next will shock you — Read more,4,1,0.05,0.85,0.05,0.05
H09,34547,44 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis (Berlin),9,1,0.026,0.924,0.025,0.026
H10,24439,32 Stock market falls amid inflation concerns dėl rinkos reakcijos,8,0,0.915,0.028,0.028,0.028
H11,20061,65 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,7,2,0.031,0.031,0.906,0.031
H12,23362,2 10 reasons you should never buy this gadget,3,2,0.063,0.063,0.812,0.063
H13,29762,"96 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte (London)",5,2,0.042,0.042,0.874,0.042
H14,18305,11 Major security breach affects millions of users worldwide analitikų teigimu,9,1,0.025,0.923,0.026,0.026
H15,17599,Žvaigždė pasirašė daugiametę sutartį su klubu as markets react (Madrid),8,0,0.916,0.028,0.028,0.028
H16,41312,9 Žvaigždė pasirašė daugiametę sutartį su klubu (Paris),6,0,0.891,0.036,0.037,0.036
H17,10905,3 10 reasons you should never buy this gadget,3,2,0.063,0.063,0.812,0.063
H18,13032,44 Earnings beat expectations as revenue grows in cloud segment,7,3,0.031,0.031,0.031,0.906
H19,445,Top 7 secrets companies don't want you to know (London),6,2,0.036,0.036,0.892,0.036
H20,5242,45 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą,7,1,0.031,0.906,0.031,0.031
